"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G16970.1",174.221761966608,0.414138839275475,0.234132508149175,1.76882246104676,0.076923507189347,0.486244120648108
"AT4G32100.1",0,NA,NA,NA,NA,NA
"AT2G43120.2",6056.14925137604,0.438747381828132,0.140790887079685,3.11630525901729,0.00183132592931414,0.0324105846051924
"AT2G43120.1",478.911096849847,1.45748658742308,0.854356692963516,1.70594623934821,0.0880180895293305,0.52285098850467
"AT1G30814.1",0,NA,NA,NA,NA,NA
"AT1G30814.4",0,NA,NA,NA,NA,NA
"AT1G30814.2",56.5009565831495,-0.062677218693138,0.516980152509403,-0.121237185584214,0.903503171498956,0.996125934379365
"AT1G30814.3",135.777528735935,-0.230381401790316,0.386044815775805,-0.596773722572432,0.550658464231509,0.969375791794027
"AT3G18710.1",10824.4439489566,0.0080956633721488,0.138282080084309,0.0585445588265159,0.953314870526116,0.998544933255957
"AT4G25880.4",402.346543491432,0.851113149410389,0.556525043138137,1.52933486085573,0.126181451669539,0.618846318215593
"AT4G25880.2",229.668680475307,-1.87851289790792,1.91402110096786,-0.981448374293269,0.326371681021088,0.866853278840688
"AT4G25880.5",980.025680033453,0.0105824505504691,0.242924584176406,0.0435626990423677,0.965252985306907,0.998544933255957
"AT4G25880.1",625.96291054706,-0.479243535527739,1.5531838856155,-0.308555567673703,0.757659624409339,0.993542462091516
"AT4G25880.3",1.86137718772303,-4.08039006170049,3.92635524120893,-1.03923099440287,0.298697318926834,NA
"AT1G78930.1",212.869322285411,0.126295779322495,0.219920563217759,0.574279082749713,0.56577896150519,0.973108701668361
"AT3G07950.1",84.5509888131983,-0.424663052975531,0.334620928152639,-1.269086949582,0.204410054314102,0.734514998825245
"AT4G03450.2",0.80537601928728,0.158607528882543,3.94915858636451,0.0401623600100985,0.967963685764071,NA
"AT4G03450.1",0.195750267081586,1.54547294107226,4.0804728567969,0.378748491978803,0.704874639962991,NA
"AT1G71695.1",87.9969401323063,1.30860589982545,0.495428629129715,2.641361081866,0.00825736626423679,0.108983940039321
"AT1G58983.1",1337.51339948307,-0.203401296817669,0.193484993784228,-1.05125101869398,0.293143316790861,0.836469502662053
"AT1G12980.1",4.31631523052456,-1.36533555937877,1.41917559174254,-0.962062458883146,0.336018230388836,0.873105279945921
"AT5G41480.1",114.899338327474,0.226671021275062,0.369890103644794,0.612806395849763,0.540004361333567,0.966489023791318
"AT5G15008.1",0,NA,NA,NA,NA,NA
"AT3G51870.1",201.019162361157,0.103922987903872,0.203065535319079,0.511770683984244,0.608811509957461,0.980216433024491
"AT4G29950.3",116.608797017062,-0.545441571762146,1.11420092504174,-0.489536096679969,0.624462205602414,0.981717935901485
"AT4G29950.1",1566.65608316254,0.969816781409111,0.242368065146535,4.00142147779562,6.29630900269781e-05,0.00184099770070335
"AT4G29950.2",607.021858430529,-0.191530652187358,0.343694383313815,-0.557270242069909,0.577342804144996,0.974198349107246
"AT3G18310.1",226.718036459301,-0.391334603558432,0.149774744987011,-2.61282103062415,0.00897983121109035,0.116584449992941
"AT5G07360.3",166.388586903115,-0.169915306285272,0.23379359384091,-0.726774859369733,0.467363886421228,0.94780476344005
"AT5G07360.1",10.5872025030823,-0.29092651403029,3.20260099507795,-0.0908406993182767,0.927619170344695,0.997247530604325
"AT5G07360.2",0,NA,NA,NA,NA,NA
"AT4G08535.1",0,NA,NA,NA,NA,NA
"AT4G08535.3",0.460224189157568,-0.203713468807691,3.91565829855005,-0.0520253437035417,0.958508499399771,NA
"AT4G08535.2",0.887127419010639,-3.00096105130393,3.94800033323765,-0.760121782675465,0.447181793281642,NA
"AT4G26490.1",52.4751743760338,0.0899091818123133,0.468876489143037,0.191754510823607,0.84793450473467,0.995192718597623
