target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
transcript:AT4G03230.5,571.874,0.0,113.112,431.441,319.628,183.695,362.585,276.972,347.992
transcript:AT4G03230.1,137.113,0.0,293.939,380.271,253.526,332.804,6.56491e-06,123.74,1.42536
transcript:AT4G03230.7,977.43,0.0,506.014,21.1977,339.282,324.917,359.976,256.382,156.069
transcript:AT4G03230.6,399.608,0.0,10.0162,0.0122079,27.4216,0.417467,224.801,158.016,108.948
transcript:AT4G03230.8,378.481,0.0,107.611,310.574,55.5863,265.331,0.039602,33.432,172.033
transcript:AT4G03240.1,561.321,0.0,266.01,209.0,233.969,241.432,266.75,227.925,285.473
transcript:AT4G03250.1,904.0,0.0,492.0,441.0,323.0,421.0,348.0,338.0,442.0
transcript:AT4G03260.1,2991.06,0.0,1499.22,904.769,1412.58,1224.55,1534.9,981.434,1446.6
transcript:AT4G03260.2,160.985,0.0,55.9732,0.0,0.0,140.881,40.2405,19.0708,201.252
transcript:AT4G03260.3,94.3026,0.0,0.164134,534.229,0.00359939,149.966,102.817,345.701,115.209
transcript:AT4G03260.4,562.952,0.0,261.65,241.002,146.92,121.643,289.159,293.029,285.23
transcript:AT4G03270.1,17.5494,0.0,19.4331,0.0,8.14653,2.7958,23.8863,5.1798,21.3855
transcript:AT4G03292.1,29.0,0.0,9.0,22.0,5.0,1.0,7.0,2.0,17.0
transcript:AT4G03320.1,1073.0,0.0,638.0,368.0,453.0,460.0,630.0,512.0,675.0
transcript:AT4G03330.1,38.9772,0.0,21.0,0.0,7.30823,16.0,23.0,20.7066,20.0
transcript:AT4G03340.1,571.82,0.0,363.394,183.0,235.0,198.119,246.621,229.065,247.021
transcript:AT4G03340.2,93.1795,0.0,47.606,1.61109e-06,2.26105e-08,54.7401,50.3789,39.5872,49.9792
transcript:AT4G04565.1,59.875,0.0,61.0,9.0,65.0,30.0,21.4711,8.84592,14.0
transcript:AT4G03360.1,1.0,0.0,2.0,11.0,2.0,5.0,3.35234,10.4583,13.5021
transcript:AT4G03390.1,2172.0,0.0,1012.3,811.778,1020.75,868.669,823.094,864.0,981.0
transcript:AT4G03390.2,0.0,0.0,101.705,311.222,22.2534,46.3313,26.9064,0.0,0.0
transcript:AT4G03400.2,131.928,0.0,57.6211,51.1875,74.592,43.7584,124.33,19.2915,88.4236
transcript:AT4G03400.1,384.744,0.0,174.998,97.8125,128.327,149.869,86.6907,194.198,148.833
transcript:AT4G03410.2,11.831,0.0,15.0116,0.0,45.9517,22.8497,36.7468,15.3771,0.0
transcript:AT4G03410.1,331.311,0.0,136.025,52.6685,93.3293,123.776,130.381,136.623,146.713
transcript:AT4G03415.3,19.1369,0.0,14.4513,8.49037,9.05251,20.671,19.2002,12.9894,44.9531
transcript:AT4G03415.2,21.3314,0.0,4.66989,45.8412,30.1933,0.0,11.0277,37.2566,13.903
transcript:AT4G03415.1,18.7181,0.0,15.2226,0.0,10.5543,17.0763,40.6237,26.2645,45.1742
transcript:AT4G03420.1,132.0,0.0,91.0,69.0,34.0,35.0,58.0,71.0,91.0
transcript:AT4G03430.2,710.902,0.0,231.763,646.5,273.964,151.746,365.385,161.817,316.892
transcript:AT4G03430.1,1313.0,0.0,636.99,575.439,655.693,529.345,1091.91,620.358,480.19
transcript:AT4G03430.3,2871.09,0.0,1333.25,796.062,955.343,1050.91,1004.71,1013.83,1658.92
transcript:AT4G03440.1,61.7025,0.0,0.0,0.0,2.88196,26.0452,32.3508,0.000148448,21.0578
transcript:AT4G03440.2,149.881,0.0,100.189,40.3982,133.118,62.4435,64.989,92.124,70.7341
transcript:AT4G03440.3,32.4161,0.0,10.8112,121.602,0.0,13.5113,22.6602,31.8759,40.5339
transcript:AT4G03443.1,37.0,0.0,13.0,10.0,10.0,17.0,19.0,6.0,6.0
transcript:AT4G03460.1,2617.39,0.0,1436.89,1266.19,883.349,1280.16,1064.12,1252.86,1178.78
transcript:AT4G03460.2,7804.61,0.0,4351.11,2743.81,2422.65,3072.84,3161.88,3128.14,2972.22
transcript:AT4G03470.1,213.0,0.0,100.0,40.0,62.0,101.0,74.0,90.0,58.0
transcript:AT4G03480.1,2154.33,0.0,1304.17,831.821,759.315,741.675,800.561,821.828,643.171
transcript:AT4G03480.2,1448.67,0.0,637.831,476.179,310.685,549.325,337.439,339.172,396.829
transcript:AT4G03490.2,223.58,0.0,97.5732,0.0,41.4847,89.0652,78.5012,71.0165,52.65
transcript:AT4G03495.1,127.725,0.0,49.6318,16.0,30.2893,34.3359,45.7739,32.9542,16.6223
transcript:AT4G03490.4,145.555,0.0,93.5474,50.0277,57.8906,67.6268,79.9671,44.5986,68.773
transcript:AT4G03500.2,38.8242,0.0,31.9041,27.9713,12.2328,23.5581,21.3478,36.429,17.7639
transcript:AT4G03505.1,16.3102,0.0,8.15987,9.66659,6.92289,16.916,18.0,2.0,14.3107
transcript:AT4G03510.1,113.616,0.0,148.508,72.8231,35.2384,27.4256,23.9505,12.5385,32.8227
transcript:AT4G03510.2,302.04,0.0,122.798,240.25,78.8933,226.49,188.02,115.818,102.062
transcript:AT4G03510.3,30.7488,0.0,13.7682,0.0,3.29369,13.7936,10.381,10.226,0.0
transcript:AT4G03510.4,303.285,0.0,227.766,23.2598,155.652,133.375,152.649,184.418,192.804
transcript:AT4G03520.1,422.25,0.0,216.679,208.0,151.256,173.334,183.216,141.974,195.573
transcript:AT4G03520.2,54.7503,0.0,66.3207,0.0,19.7436,29.6662,73.7844,53.0265,33.4273
transcript:AT4G03540.1,103.0,0.0,35.0,59.0,24.0,47.0,68.0,52.0,36.0
transcript:AT4G03550.1,3992.0,0.0,2368.0,2336.0,1679.0,2027.0,1294.0,1675.0,1815.0
transcript:AT4G03560.1,1375.0,0.0,831.0,968.0,827.0,861.0,752.0,832.0,1004.0
transcript:AT4G03635.1,241.0,0.0,182.0,111.0,116.0,107.0,97.0,105.0,113.0
transcript:AT4G03820.2,13.6889,0.0,0.0,0.0,11.4127,9.15383,19.3443,9.33386,42.7631
transcript:AT4G03820.1,366.311,0.0,243.0,191.0,295.587,299.846,445.656,501.666,506.237
transcript:AT4G03935.1,10.3149,0.0,16.168,0.0,4.07407,4.04199,0.0,6.08209,10.583
transcript:AT4G03935.2,38.6941,0.0,7.29181,16.0,3.78153,9.59266,10.6418,8.53684,12.1419
transcript:AT4G03940.1,99.0,1.00831,78.0,31.0,37.0,75.0,66.2038,50.0,76.0
transcript:AT4G03960.1,777.0,0.0,334.0,399.0,300.0,313.0,320.0,286.0,342.0
transcript:AT4G03965.1,14.0,0.0,3.0,18.0,13.0,0.0,9.0,4.0,6.0
transcript:AT4G04020.1,145.0,0.0,80.0,30.0,111.0,100.0,102.0,84.0,99.0
transcript:AT4G04040.1,287.0,0.0,141.0,126.0,90.0,111.0,150.0,138.0,147.0
transcript:AT4G04180.1,702.0,0.0,263.0,240.0,270.0,262.0,344.0,245.0,294.461
transcript:AT4G04190.1,28.6403,0.0,12.8667,0.0,18.0,3.8788,18.0,8.01632,6.43303
transcript:AT4G04200.1,77.0,0.0,31.0,28.0,27.0,29.0,36.0,32.5731,28.0
transcript:AT4G04210.1,106.0,0.0,76.0,70.0,46.0,72.0,53.0,45.0,46.0
transcript:AT4G04220.1,301.411,0.0,202.991,158.0,104.167,127.371,67.2098,118.625,134.881
transcript:AT4G04221.4,17.3183,0.0,5.91173,0.0,11.7642,12.629,43.7093,0.0,29.9055
transcript:AT4G04221.6,13.9204,0.0,10.097,0.0,35.4228,37.2478,44.2521,19.6114,0.0
transcript:AT4G04320.1,78.0833,0.0,53.1405,0.0,26.2081,19.5208,9.76042,48.8021,43.9279
transcript:AT4G04320.2,181.917,0.0,85.8595,89.0,74.7088,82.4792,101.24,53.1221,78.9528
transcript:AT4G04340.1,308.55,0.0,183.753,237.358,146.994,127.872,193.452,125.598,122.528
transcript:AT4G04340.3,0.0,0.0,0.0,0.0,12.8607,21.3708,0.0,27.8316,61.6348
transcript:AT4G04340.2,288.233,0.0,160.247,44.6415,129.145,148.757,100.548,127.571,153.837
transcript:AT4G04350.1,126.0,0.0,81.0,62.0,49.0,62.0,66.0,63.0,75.0
transcript:AT4G04360.1,19.0,0.0,13.0,0.0,10.0,6.0,16.0,12.0,9.0
transcript:AT4G04370.1,91.0,0.0,30.0,19.0,29.0,49.0,27.0,26.0,42.0
transcript:AT4G04460.1,216.122,0.0,149.844,42.7307,53.3095,91.6536,71.0165,105.91,123.281
transcript:AT4G04470.1,214.319,0.0,89.0348,36.7982,97.1866,107.667,143.598,84.0314,99.5757
transcript:AT4G04470.2,216.688,0.0,107.129,175.241,88.3021,90.6683,109.21,87.8635,105.474
transcript:AT4G04480.1,85.871,0.0,20.9923,46.2303,44.2018,17.0113,30.1761,16.2981,25.6692
transcript:AT4G04490.1,725.0,0.0,322.0,316.0,345.997,241.0,323.0,141.0,193.0
transcript:AT4G04540.1,1997.68,0.0,946.01,875.019,860.758,808.809,290.278,369.319,470.833
transcript:AT4G04540.2,239.751,0.0,121.565,47.6508,167.786,101.191,135.95,78.2067,58.4711
transcript:AT4G04540.3,86.0794,0.0,33.2807,0.0,24.8177,58.6931,0.0,0.0,13.9225
transcript:AT4G04570.3,152.858,0.0,110.148,78.5614,89.6637,64.8258,52.5142,41.1792,72.1863
transcript:AT4G04570.1,245.629,0.0,85.9966,125.357,74.9728,111.481,24.6855,21.2953,30.5867
transcript:AT4G04610.1,1208.0,0.0,630.0,655.0,653.0,728.0,718.0,946.0,876.0
transcript:AT4G04614.2,71.263,0.0,24.5747,54.0926,0.0,18.5267,46.7391,18.9614,35.5927
transcript:AT4G04614.1,326.737,0.0,160.425,86.9074,158.0,170.473,179.261,144.039,182.407
transcript:AT4G04620.2,166.664,0.0,24.1684,50.619,57.3791,69.731,26.9392,60.8902,86.5971
transcript:AT4G04620.3,308.791,0.0,102.442,17.685,147.951,53.055,92.8852,88.0885,188.567
transcript:AT4G04620.1,137.172,0.0,133.658,237.696,10.2237,136.504,234.502,123.021,53.836
transcript:AT4G04670.1,1161.0,0.0,580.0,514.0,506.0,504.0,498.0,497.0,587.0
transcript:AT4G04680.2,51.597,0.0,13.4296,14.0,34.5818,20.0,23.5996,29.0,15.6419
transcript:AT4G04680.1,8.40298,0.0,8.57042,0.0,11.4182,0.0,16.4004,0.0,10.3581
transcript:AT4G04695.1,368.95,0.0,143.04,94.0,103.507,146.542,115.286,149.375,147.581
transcript:AT4G04700.1,1275.05,0.0,528.96,391.0,494.493,383.458,497.714,382.625,350.419
transcript:AT4G04720.1,160.163,0.0,58.2942,0.0,26.5116,0.00147713,77.2272,147.606,121.262
transcript:AT4G04720.2,702.652,0.0,383.418,491.0,349.488,373.999,332.476,230.09,320.702
transcript:AT4G04740.1,1520.31,0.0,696.516,382.08,617.941,730.365,946.653,723.834,658.392
transcript:AT4G04740.3,235.848,0.0,126.596,124.0,171.803,144.854,142.169,38.9653,162.642
transcript:AT4G04740.5,29.3469,0.0,50.742,0.0,30.2466,84.4517,57.8249,55.7149,0.0
transcript:AT4G04740.2,119.785,0.0,38.3981,0.0,23.5831,19.3651,23.65,43.8313,32.8454
transcript:AT4G04740.7,772.808,0.0,267.123,433.92,109.479,38.9637,0.0,187.571,251.006
transcript:AT4G04770.1,1279.0,0.0,760.0,583.0,572.0,647.0,722.0,571.0,736.0
transcript:AT4G04780.1,105.0,0.0,75.0,28.0,43.0,68.0,97.0,61.0,75.0
transcript:AT4G04790.1,211.794,0.0,87.988,0.778821,117.51,101.198,0.836476,93.9744,62.468
transcript:AT4G04790.3,145.206,0.0,55.012,166.221,0.489534,39.8017,144.164,0.040019,87.532
transcript:AT4G04800.1,895.0,0.0,467.0,361.0,355.0,350.0,534.0,409.0,439.0
transcript:AT4G04850.2,84.0,0.0,44.0,123.0,39.0,5.94261e-05,44.9999,12.1283,40.0
transcript:AT4G04860.1,997.0,0.0,590.0,476.0,398.0,500.0,530.0,461.0,509.0
transcript:AT4G04870.1,119.0,0.0,70.0,118.0,103.0,141.0,129.0,122.0,178.0
transcript:AT4G04880.1,257.167,0.0,124.0,121.0,124.0,123.0,145.0,100.0,125.0
transcript:AT4G04885.1,1004.0,0.0,568.0,469.0,409.0,422.0,439.0,451.0,516.0
transcript:AT4G04910.1,1554.0,0.0,872.0,705.0,576.0,683.0,671.0,693.0,861.0
transcript:AT4G04920.3,559.223,0.0,334.158,244.071,128.892,356.937,140.203,155.55,289.432
transcript:AT4G04920.2,435.464,0.0,210.659,0.0,338.818,282.136,155.569,223.033,220.004
transcript:AT4G04920.1,1794.31,0.0,827.184,933.929,747.291,621.927,969.228,785.416,1011.56
transcript:AT4G04925.1,82.0,0.0,42.0,40.0,32.0,33.0,35.0,26.0,27.0
transcript:AT4G04940.1,1003.37,0.0,486.494,386.793,330.645,548.793,405.474,467.894,661.269
transcript:AT4G04940.2,398.579,0.0,216.487,193.207,231.355,64.1749,290.521,120.106,210.727
transcript:AT4G04950.1,549.0,0.0,311.0,333.0,191.0,266.0,270.0,263.0,338.0
transcript:AT4G04955.2,419.376,0.0,194.949,13.1982,149.962,187.981,218.975,39.4459,195.478
transcript:AT4G04955.1,448.624,0.0,184.051,367.802,138.038,69.0191,92.0255,195.554,80.5223
transcript:AT4G04960.1,12795.0,0.0,7424.68,5860.0,4531.56,5684.0,5605.48,5904.24,6165.0
transcript:AT4G04960.2,0.0,0.0,52.3229,7.64366e-06,75.4413,0.0,39.5244,115.762,0.0
transcript:AT4G04970.1,261.0,0.0,157.0,143.0,173.0,168.0,96.0,120.0,172.0
transcript:AT4G05000.2,290.047,0.0,152.03,122.969,134.369,209.414,210.757,99.4351,189.669
transcript:AT4G05000.1,108.215,0.0,68.6604,0.0,43.8046,18.2225,21.705,62.5649,0.0
transcript:AT4G05000.3,11.7385,0.0,19.3093,8.03067,16.8262,7.36313,23.5384,0.0,22.3314
transcript:AT4G05010.1,1049.0,0.0,549.0,685.0,665.0,658.0,610.0,467.0,565.0
transcript:AT4G05018.1,255.0,0.0,145.0,156.0,144.0,119.0,149.0,60.0,120.0
transcript:AT4G05020.1,6589.76,0.0,4029.0,3706.0,2997.73,3123.03,3619.52,2401.83,3533.72
transcript:AT4G05020.2,1686.24,0.0,294.996,0.0,313.274,555.967,0.475977,513.168,436.276
transcript:AT4G05040.3,29.9126,0.0,61.9507,1.79038,25.9887,6.00253e-06,30.0053,0.0,14.0058
transcript:AT4G05040.5,127.961,0.0,48.8676,78.6443,14.8792,22.4439,63.2237,87.1357,54.5721
transcript:AT4G05040.2,85.0395,0.0,24.5734,102.558,0.0,0.0,0.00292797,54.8312,27.9188
transcript:AT4G05040.1,21.7976,0.0,35.2283,0.0,50.7674,102.716,66.4896,0.0,0.0
transcript:AT4G05040.7,15.7687,0.0,36.38,135.007,55.8401,79.8403,42.2785,36.0331,73.6599
transcript:AT4G05050.3,8787.65,0.0,4995.4,7001.17,6177.65,8439.18,7896.18,4914.68,6300.81
transcript:AT4G05050.4,32.2147,0.0,7.1536,40.608,21.4417,19.3766,11.6349,9.64712,15.816
transcript:AT4G05050.2,173.597,0.0,167.264,129.481,190.33,215.337,222.435,141.224,209.398
transcript:AT4G05050.1,11727.9,0.0,7342.01,11677.4,8475.23,10180.0,7516.37,7260.2,8608.76
transcript:AT4G05060.1,437.531,0.0,268.0,243.0,247.049,234.35,230.788,193.945,227.424
transcript:AT4G05065.1,25.4694,0.0,0.0,0.0,5.95107,19.6498,16.1264,25.055,12.5765
transcript:AT4G05070.1,537.0,0.0,358.0,329.0,373.0,503.0,329.0,234.0,324.0
transcript:AT4G05090.1,122.0,0.0,57.7533,88.0,41.6279,49.9535,80.0,58.2791,49.9535
transcript:AT4G05090.2,2.84014e-06,0.0,0.246732,0.0,25.3721,17.0465,0.0,14.7209,24.0465
transcript:AT4G05100.1,1170.0,0.0,592.0,856.0,919.0,913.0,1652.0,1356.0,1783.0
transcript:AT4G05120.1,108.929,0.0,45.5189,50.2749,33.5166,47.0164,33.5166,21.3673,16.7583
transcript:AT4G05120.2,158.761,0.0,141.249,147.725,84.9878,59.6237,107.375,125.464,110.947
transcript:AT4G05150.1,1660.0,0.0,1028.0,1034.0,765.0,825.0,900.0,769.0,866.0
