target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT2G32400.1,5.40948,4.61828,6.06794,4.96493,4.23167,4.9089,3.04046,4.58709,5.24462
AT5G17600.1,1.58183,1.79889,2.51171,3.98115,1.71682,2.16871,1.86264,2.50111,3.29831
AT4G35650.1,0.359288,0.0556378,0.0651994,0.0,0.0,0.0700569,0.203073,0.161589,0.0
AT1G25211.1,0.651909,0.289026,1.29855,0.0,0.61275,1.0863,1.06863,0.354712,0.441299
AT5G03500.1,4.86503,5.01627,5.46789,8.68511,6.19894,4.69303,7.28874,9.71292,3.09256
AT5G03500.7,0.72799,3.78363,1.14404,6.93157,0.0,0.24857,7.7322,4.76523,2.38938
AT5G03500.5,2.55759,2.24871,1.29872,3.92296,2.13572,2.7526,4.00201,1.18661,3.93308
AT5G03500.2,0.165392,0.0,0.418659,0.457687,0.0,0.0,0.362967,0.0,0.709857
AT5G03500.4,0.0,0.271095,0.407035,3.76738e-09,0.0,0.0,0.0,2.09394,0.0197829
AT5G03500.3,9.42548,0.898114,7.48121,0.0,8.15838,6.38216,1.37599,4.30805,11.6805
AT5G03500.6,1.96584,2.46687,2.36667,2.31533,0.659861,2.35801,1.65256,0.0,1.92917
AT1G12370.1,0.0,1.37298,0.648323,2.84001e-06,1.47016e-06,0.130943,0.0,0.0,9.01691e-10
AT1G12370.3,0.898027,0.827627,0.0,1.22645,0.859442,0.930581,0.945955,1.09384,0.0
AT1G12370.2,0.320235,0.0,0.66277,0.0,0.0,0.493451,0.603332,1.44025,1.80111
AT2G29340.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G29340.3,0.0921959,0.0,0.0,0.0,0.517725,0.0,0.0,0.229863,0.0
AT2G29340.2,0.281864,0.204894,0.120053,0.0,0.0,0.0,0.0,0.0,0.519319
AT2G29340.1,0.235444,0.127959,0.191991,0.0,0.0,0.419115,0.890913,0.0,0.746142
AT3G07830.1,0.033378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G49610.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G03270.1,9.0589,8.29406,9.11946,7.14493,9.04251,7.73596,8.59591,8.92165,11.2463
AT1G26920.1,5.85394,5.49854,7.4013,6.85939,4.06206,3.36821,4.15847,3.23704,4.99076
AT5G02995.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G29300.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G24830.1,49.1567,48.2133,43.28,50.0845,42.9857,45.6628,51.2368,58.2431,59.7236
AT3G51210.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G25707.2,11.7306,8.18317,9.21627,7.34428,8.50254,6.63539,18.9073,12.7977,13.3513
AT4G25707.1,0.564477,0.0,0.809565,0.0,0.394842,1.35795,0.436634,0.801202,0.380536
AT1G56290.1,23.2154,21.1578,20.6485,22.8805,17.1971,22.5914,21.5361,25.37,23.0891
AT2G40711.2,0.0,0.405701,0.0402538,2.60607,1.82713,1.25042,1.60646,0.0,2.38135
AT2G40711.1,4.08006,2.60084,2.47633,0.0,3.18998,2.17475,4.66416,4.09005,3.06172
AT5G63900.1,0.93484,1.00897,1.02814,0.969641,0.553426,1.87807,1.01406,0.828144,1.38984
AT1G18070.2,71.8822,71.8162,59.7635,75.1051,89.0154,82.267,68.497,78.4346,80.9012
