"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","chromosome","36/909","439/26902",0.082004555808656,2.42693791019193,5.6371001207821,1.07178967441159e-06,0.000291526791439953,0.000268511518431536,"AT5G22450/AT1G09060/AT2G46980/AT1G08620/AT5G44740/AT5G43990/AT1G63490/AT1G04730/AT1G03290/AT1G77310/AT1G76710/AT1G70060/AT3G54350/AT2G33290/AT1G21610/AT1G59890/AT4G35520/AT5G43500/AT3G57300/AT4G17380/AT5G27680/AT3G57060/AT3G02820/AT5G64520/AT4G09140/AT4G02060/AT5G40530/AT3G20810/AT1G31360/AT4G29910/AT3G27460/AT1G07745/AT5G63540/AT1G16710/AT1G22260/AT5G49010",36
"GO:0015629","actin cytoskeleton","11/909","79/26902",0.139240506329114,4.12084499589199,5.1948142148305,6.84703987875969e-05,0.00931197423511317,0.00857681837444635,"AT4G27370/AT3G55770/AT5G43900/AT3G19960/AT5G11710/AT2G30910/AT3G57410/AT2G31900/AT4G26700/AT4G14147/AT3G22790",11
"GO:0005856","cytoskeleton","29/909","406/26902",0.0714285714285714,2.11393996542511,4.22933995623046,0.000140615513515231,0.0127491398920476,0.0117426288479386,"AT1G72250/AT4G27370/AT1G77460/AT3G55770/AT3G16630/AT1G64320/AT2G20000/AT5G43900/AT3G19960/AT4G21820/AT5G11710/AT2G30910/AT5G11510/AT3G57410/AT2G31900/AT1G64300/AT1G20060/AT3G12020/AT5G06670/AT3G45850/AT3G53350/AT4G26700/AT4G14147/AT3G22790/AT3G27960/AT1G07745/AT2G22610/AT3G61760/AT1G14380",29
