"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005856","cytoskeleton","33/904","406/26902",0.0812807881773399,2.41882274728628,5.3715479846801,3.21054428485683e-06,0.000796214982644493,0.000723217344167748,"AT2G30910/AT4G18600/AT3G12020/AT2G20815/AT5G43900/AT3G19960/AT3G19570/AT2G24140/AT3G57410/AT2G31900/AT1G72250/AT1G64300/AT1G20060/AT3G45850/AT3G61760/AT2G47500/AT5G42080/AT3G55770/AT1G07745/AT1G14380/AT5G24310/AT5G65460/AT3G20150/AT4G30710/AT4G27370/AT5G55230/AT1G09170/AT3G12200/AT3G02400/AT2G25880/AT1G63640/AT2G37620/AT2G29890",33
"GO:0005694","chromosome","34/904","439/26902",0.0774487471526196,2.30478561493338,5.13984875342815,6.52643573268085e-06,0.000809278030852426,0.00073508276147037,"AT5G22760/AT1G10450/AT1G16710/AT1G11950/AT3G05480/AT1G55250/AT3G12380/AT1G17640/AT3G57060/AT1G69220/AT5G27680/AT5G64520/AT4G02060/AT1G31360/AT1G26665/AT3G27460/AT1G07745/AT5G63540/AT5G49010/AT5G40600/AT4G18490/AT3G20475/AT4G36080/AT5G43990/AT5G09740/AT4G24790/AT4G14385/AT1G09060/AT2G30350/AT1G01370/AT4G16280/AT5G40840/AT2G27120/AT2G44580",34
"GO:0005654","nucleoplasm","31/904","406/26902",0.0763546798029557,2.27222742926893,4.81654998611703,2.16994363457501e-05,0.00179382007124867,0.00162936118525983,"AT1G28060/AT3G18520/AT1G10450/AT5G42400/AT3G17880/AT1G11950/AT5G58040/AT1G21580/AT3G12380/AT5G37720/AT3G52120/AT1G17640/AT1G09700/AT3G05380/AT4G24440/AT2G31580/AT1G16610/AT3G18090/AT5G63540/AT5G49010/AT5G27300/AT4G36080/AT2G37678/AT1G79880/AT1G09570/AT5G61270/AT1G09060/AT2G37340/AT4G16280/AT1G75060/AT2G40030",31
"GO:0015629","actin cytoskeleton","10/904","79/26902",0.126582278481013,3.76694298196483,4.59259912142721,0.000308957976976372,0.0191553945725351,0.0173992123876168,"AT2G30910/AT5G43900/AT3G19960/AT2G24140/AT3G57410/AT2G31900/AT3G55770/AT4G27370/AT2G37620/AT2G29890",10
"GO:0015630","microtubule cytoskeleton","22/904","296/26902",0.0743243243243243,2.21180638603205,3.90919879974901,0.000469357738285039,0.0232801438189379,0.0211458012616839,"AT3G12020/AT2G20815/AT3G19570/AT1G72250/AT1G64300/AT1G20060/AT3G45850/AT3G61760/AT2G47500/AT5G42080/AT1G07745/AT1G14380/AT5G24310/AT5G65460/AT3G20150/AT4G30710/AT5G55230/AT1G09170/AT3G12200/AT3G02400/AT2G25880/AT1G63640",22
"GO:0016604","nuclear body","11/904","108/26902",0.101851851851852,3.03099393641429,3.94366654101698,0.00103271746858375,0.0426856553681284,0.0387721996977057,"AT5G58040/AT1G21580/AT1G09700/AT1G16610/AT5G63540/AT2G37678/AT1G09570/AT5G61270/AT2G37340/AT4G16280/AT2G40030",11
