"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016887","ATP hydrolysis activity","17/467","287/26722",0.0592334494773519,3.38937095703169,5.42767273852262,1.39223170610745e-05,0.00591698475095665,0.00512927470671165,"AT3G44400/AT5G50780/AT4G16920/AT1G15520/AT3G24530/AT1G04730/AT5G08470/AT1G03905/AT3G48870/AT3G27610/AT3G09440/AT1G09080/AT4G35520/AT5G57350/AT3G57300/AT3G28600/AT2G19110",17
"GO:0140993","histone modifying activity","12/467","189/26722",0.0634920634920635,3.63305122191632,4.84479955703868,0.000131990383645753,0.0224728001434079,0.0194810651397963,"AT5G61060/AT1G09060/AT5G49020/AT5G42400/AT5G10290/AT1G51890/AT3G49400/AT1G08620/AT5G43990/AT1G63490/AT1G76710/AT2G33290",12
"GO:0003887","DNA-directed DNA polymerase activity","4/467","17/26722",0.235294117647059,13.4636604106311,6.85571191237009,0.000182945721699549,0.0224728001434079,0.0194810651397963,"AT3G20540/AT5G44740/AT3G52050/AT1G67500",4
"GO:0005516","calmodulin binding","11/467","170/26722",0.0647058823529412,3.70250661292354,4.71434529736902,0.000211508707232074,0.0224728001434079,0.0194810651397963,"AT5G09410/AT2G23980/AT5G19450/AT1G27460/AT1G61430/AT1G61420/AT1G67520/AT1G61440/AT4G35580/AT5G26920/AT4G21820",11
"GO:0016779","nucleotidyltransferase activity","10/467","151/26722",0.0662251655629139,3.78944084405179,4.58437844789667,0.000337781665168112,0.0287114415392895,0.0248891753281767,"AT3G49500/AT3G20540/AT2G40520/AT5G44740/AT4G32850/AT3G27610/AT3G52050/AT5G55130/AT1G67500/AT3G45750",10
"GO:0034061","DNA polymerase activity","4/467","21/26722",0.19047619047619,10.899153665749,6.0523318494982,0.000435270072394971,0.0308316301279771,0.0267271097084631,"AT3G20540/AT5G44740/AT3G52050/AT1G67500",4
"GO:0017111","ribonucleoside triphosphate phosphatase activity","19/467","477/26722",0.039832285115304,2.27922553073052,3.75977453363491,0.000820502106672017,0.0498161993336582,0.0431843214037904,"AT3G44400/AT5G50780/AT4G16920/AT1G15520/AT3G20290/AT3G24530/AT1G04730/AT5G08470/AT1G03905/AT3G48870/AT3G27610/AT2G36250/AT3G09440/AT1G09080/AT4G35520/AT5G57350/AT3G57300/AT3G28600/AT2G19110",19
