"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140719","constitutive heterochromatin formation","6/366","58/21192",0.103448275862069,5.98982475975127,5.04454238423311,0.000483643206528623,0.018635377301556,0.016529779328396,"AT1G28060/AT5G50780/AT1G09060/AT3G12550/AT5G43990/AT1G54440",6
"GO:0071051","poly(A)-dependent snoRNA 3'-end processing","3/366","10/21192",0.3,17.3704918032787,6.86422611602534,0.000560257274785921,0.0209332490851831,0.0185680162201777,"AT1G54440/AT3G46210/AT2G32415",3
"GO:0031047","regulatory ncRNA-mediated gene silencing","9/366","144/21192",0.0625,3.61885245901639,4.1802301832277,0.000912129422093524,0.0319819850433463,0.028368363392698,"AT1G31290/AT1G28060/AT2G27040/AT5G50780/AT1G09060/AT3G12550/AT3G49500/AT5G43990/AT1G54440",9
"GO:0080188","gene silencing by siRNA-directed DNA methylation","5/366","44/21192",0.113636363636364,6.57973174366617,4.91154744551817,0.00093378058520719,0.0319819850433463,0.028368363392698,"AT1G28060/AT5G50780/AT3G12550/AT5G43990/AT1G54440",5
"GO:0141194","siRNA-mediated heterochromatin formation","5/366","44/21192",0.113636363636364,6.57973174366617,4.91154744551817,0.00093378058520719,0.0319819850433463,0.028368363392698,"AT1G28060/AT5G50780/AT3G12550/AT5G43990/AT1G54440",5
"GO:0051276","chromosome organization","11/366","208/21192",0.0528846153846154,3.06210592686003,3.96197595577843,0.00102956699263276,0.0343096243761133,0.0304330044195003,"AT5G55300/AT5G54260/AT4G32200/AT2G06510/AT4G15415/AT2G46980/AT1G08620/AT1G01690/AT5G40820/AT5G24630/AT1G04730",11
"GO:0007140","male meiotic nuclear division","4/366","27/21192",0.148148148148148,8.57802064359441,5.22326266645557,0.0011216670438527,0.0362279859187474,0.032134611661398,"AT1G77320/AT2G06510/AT3G09660/AT1G50240",4
"GO:0006289","nucleotide-excision repair","5/366","46/21192",0.108695652173913,6.29365645046329,4.76468167682693,0.00114589736482656,0.0362279859187474,0.032134611661398,"AT2G18760/AT5G08110/AT2G06510/AT5G41150/AT4G17020",5
"GO:0070192","chromosome organization involved in meiotic cell cycle","5/366","47/21192",0.106382978723404,6.15974886641088,4.69447450640004,0.0012644028214701,0.038638177774359,0.0342724776604422,"AT4G32200/AT2G06510/AT2G46980/AT1G08620/AT1G01690",5
"GO:0006075","(1->3)-beta-D-glucan biosynthetic process","3/366","13/21192",0.230769230769231,13.3619167717528,5.91041672502007,0.00128480558698193,0.038638177774359,0.0342724776604422,"AT3G14570/AT2G31960/AT5G63370",3
"GO:0048232","male gamete generation","6/366","71/21192",0.0845070422535211,4.89309628261372,4.35592523725135,0.00141880397504281,0.0416520309816139,0.0369457977461023,"AT1G77320/AT3G11440/AT2G06510/AT3G09660/AT1G50240/AT1G60460",6
"GO:0006074","(1->3)-beta-D-glucan metabolic process","3/366","14/21192",0.214285714285714,12.4074941451991,5.66011345833492,0.00161437383342921,0.0452391576504139,0.040127617534281,"AT3G14570/AT2G31960/AT5G63370",3
"GO:0010332","response to gamma radiation","3/366","14/21192",0.214285714285714,12.4074941451991,5.66011345833492,0.00161437383342921,0.0452391576504139,0.040127617534281,"AT2G18760/AT5G40820/AT3G19210",3
"GO:0045132","meiotic chromosome segregation","5/366","51/21192",0.0980392156862745,5.67663130826101,4.43270463765587,0.00183047103666324,0.0497334678608076,0.0441141188435388,"AT4G32200/AT2G06510/AT5G19400/AT2G46980/AT1G01690",5
"GO:0031507","heterochromatin formation","7/366","101/21192",0.0693069306930693,4.01298490504788,4.02367035531504,0.00185542540275519,0.0497334678608076,0.0441141188435388,"AT1G28060/AT2G27040/AT5G50780/AT1G09060/AT3G12550/AT5G43990/AT1G54440",7
